,SE,SP,PR,ACC,F1
AUCell,0.88,0.99,0.88,0.99,0.88
CIA_R,0.93,1.0,0.93,0.99,0.93
CIA_Python,0.93,1.0,0.93,0.99,0.93
Celltypist,0.85,0.99,0.85,0.99,0.85
SingleR,0.97,1.0,0.99,1.0,0.98
garnett,0.03,0.98,0.09,0.93,0.05
scANVI,0.98,1.0,0.98,1.0,0.98
scBalance,0.99,1.0,0.99,1.0,0.99
