,SE,SP,PR,ACC,F1
AUCell,0.54,0.98,0.54,0.97,0.54
CIA_R,0.78,0.99,0.78,0.98,0.78
CIA_Python,0.78,0.99,0.78,0.98,0.78
Celltypist,0.79,0.99,0.79,0.98,0.79
SingleR,0.73,0.99,0.74,0.98,0.74
garnett,0.07,1.0,0.46,0.96,0.13
scANVI,0.78,0.99,0.78,0.98,0.78
scBalance,0.78,0.99,0.78,0.98,0.78
