TIME(s)  CPUs
466.5794486999512	1
469.41268968582153	1
472.9392566680908	1
468.35893034935	1
470.7590720653534	1
475.62305307388306	1
468.968581199646	1
470.00166726112366	1
474.16725301742554	1
465.08527088165283	1
467.88832807540894	2
470.10028553009033	2
473.7254192829132	2
473.5532901287079	2
478.28891682624817	2
466.25835609436035	2
467.22104501724243	2
472.4809739589691	2
468.9264647960663	2
469.71246218681335	2
476.9378764629364	4
242.9201021194458	4
393.00463676452637	4
393.3407452106476	4
241.96202564239502	4
241.00870537757874	4
380.5622730255127	4
380.60404801368713	4
240.4211609363556	8
382.8432586193085	4
379.28537368774414	4
238.88966608047485	8
238.5040295124054	8
238.09386920928955	8
238.7743158340454	8
238.90565156936646	8
238.18431878089905	8
238.84880542755127	8
239.00511074066162	8
238.15163111686707	8
238.13460206985474	16
240.22591757774353	16
239.4097034931183	16
239.05128860473633	16
239.04194974899292	16
240.23308849334717	16
237.9541699886322	16
238.6416356563568	16
239.133807182312	16
238.47236967086792	16
238.6051561832428	32
239.6592366695404	32
239.84569883346558	32
238.82870221138	32
239.2361078262329	32
239.11775040626526	32
239.08880424499512	32
239.28578734397888	32
240.1168508529663	32
237.96057653427124	32
238.11884880065918	64
238.1059181690216	64
239.6134557723999	64
238.47340846061707	64
239.86923670768738	64
237.95445322990417	64
240.06300497055054	64
237.98645281791687	64
240.5124945640564	64
238.08207893371582	64
