TIME(s)	CPUs
1.5782184600830078	1
1.5796821117401123	1
1.588904857635498	1
1.598833084106445	1
1.635166883468628	1
1.5178442001342771	1
1.6570777893066406	1
1.6702232360839844	1
1.7148401737213137	2
1.7262787818908691	2
1.901655673980713	1
1.889186143875122	1
1.4889259338378906	2
1.492372751235962	2
1.766083002090454	2
1.8065943717956543	2
1.8176352977752688	2
1.8674237728118896	2
0.9017486572265624	4
1.169884204864502	4
1.231068134307861	4
1.2355902194976809	4
1.6956207752227783	2
1.6957147121429443	2
0.9631133079528807	4
0.9696736335754396	4
1.099531173706055	4
1.1125855445861816	4
1.1519923210144043	4
1.1549365520477295	4
0.8276891708374023	8
0.8336148262023926	8
0.8350036144256592	8
0.8492701053619385	8
0.9350085258483888	8
0.9828112125396729	8
0.7377362251281738	16
0.7624428272247314	16
0.7989194393157959	8
0.8222243785858154	8
0.8222458362579346	8
0.8430407047271729	8
0.8268134593963623	16
0.8261299133300781	16
0.8149046897888184	16
0.8281538486480713	16
0.9343349933624268	16
1.2059175968170166	16
0.7390987873077393	32
0.741652250289917	32
0.8102407455444336	16
0.8112435340881348	32
0.8383135795593262	16
0.857447624206543	32
0.7006938457489014	32
0.6900973320007324	32
0.6999804973602295	32
0.7871763706207275	32
0.7929279804229736	32
0.5604188442230225	64
0.5909731388092041	64
0.6119318008422852	32
0.5059866905212402	64
0.5120000839233398	64
0.5060250759124756	64
0.5104701519012451	64
0.5114419460296631	64
0.5131585597991943	64
0.5086517333984375	64
0.5108325481414795	64
