TIME(s)	CPUs
4.849048614501953	1
4.934645175933838	1
4.939018249511719	1
4.939410924911499	1
4.931434392929077	1
4.960494041442871	1
4.953426122665405	1
4.990358352661133	1
4.563950538635254	1
4.563595771789551	2
4.563829660415649	2
4.5908119678497314	2
4.591665983200073	2
4.589318752288818	1
4.603906869888306	2
4.608631134033203	2
3.583467721939087	4
3.583667039871216	4
3.701982021331787	4
3.7022974491119385	4
4.272365093231201	2
4.2821245193481445	2
4.279667615890503	2
4.356699466705322	2
3.4812605381011963	4
3.595488786697388	8
3.595037937164306	8
3.5104334354400635	4
3.647655487060547	4
3.645768642425537	4
3.654124975204468	4
3.659217119216919	4
3.4852569103240967	8
3.492892980575561	8
3.4996347427368164	8
3.5012547969818115	8
3.4879422187805176	8
3.493940830230713	8
3.5035951137542725	8
3.5193099975585938	8
3.4869840145111084	16
3.489700555801392	16
3.496266365051269	16
3.496716022491455	16
3.500673294067383	16
3.5076844692230225	16
3.5051379203796387	16
3.512585163116455	16
3.421904802322388	16
3.428856134414673	16
3.428605079650879	32
3.431729793548584	32
3.433578968048096	32
3.394417762756348	32
3.4032113552093506	32
3.4099550247192383	32
3.418781280517578	32
3.402867078781128	32
3.4031529426574707	32
3.406806945800781	32
3.3893136978149414	64
3.405995607376098	64
3.398066520690918	64
3.4238064289093018	64
3.39557147026062	64
3.3992674350738525	64
3.391338348388672	64
3.399850368499756	64
3.392486810684204	64
3.392457962036133	64
